"year"	"month"	"day"	"obs"	"sim"	"alt"	"code"	"lat"	"long"
1998	10	19	6.1	5.9853802	386	1200570	39.839444	-7.4786944
1998	10	20	3.2	4.5677848	386	1200570	39.839444	-7.4786944
1998	10	21	3.1	3.8286409	386	1200570	39.839444	-7.4786944
1998	10	22	4.5	4.2126737	386	1200570	39.839444	-7.4786944
1998	10	23	3.8	3.758496	386	1200570	39.839444	-7.4786944
1998	10	24	5.8	5.2626834	386	1200570	39.839444	-7.4786944
1998	10	25	7	7.2387443	386	1200570	39.839444	-7.4786944
1998	10	26	5.2	5.1458015	386	1200570	39.839444	-7.4786944
1998	10	27	3.8	5.2909141	386	1200570	39.839444	-7.4786944
1998	10	28	3.4	3.9441445	386	1200570	39.839444	-7.4786944
1998	10	29	4	4.3589363	386	1200570	39.839444	-7.4786944
1998	10	30	3.8	5.0647149	386	1200570	39.839444	-7.4786944
1998	10	31	5	5.5264049	386	1200570	39.839444	-7.4786944
1998	11	1	7.3	6.0992723	386	1200570	39.839444	-7.4786944
1998	11	2	6.6	6.2145009	386	1200570	39.839444	-7.4786944
1998	11	3	7.1	11.192786	386	1200570	39.839444	-7.4786944
1998	11	4	6	7.3248982	386	1200570	39.839444	-7.4786944
1998	11	5	5.5	6.4423218	386	1200570	39.839444	-7.4786944
1998	11	6	7.1	7.1917396	386	1200570	39.839444	-7.4786944
1998	11	7	4.1	6.1198359	386	1200570	39.839444	-7.4786944
1998	11	8	4.3	5.5209208	386	1200570	39.839444	-7.4786944
1998	11	9	2.6	3.8046889	386	1200570	39.839444	-7.4786944
1998	11	10	4.5	3.5922089	386	1200570	39.839444	-7.4786944
1998	11	11	7.5	3.6096103	386	1200570	39.839444	-7.4786944
1998	11	12	5.2	3.6808727	386	1200570	39.839444	-7.4786944
1998	11	13	8.4	6.8085303	386	1200570	39.839444	-7.4786944
1998	11	14	5.1	2.9703929	386	1200570	39.839444	-7.4786944
1998	11	15	3.9	5.0894575	386	1200570	39.839444	-7.4786944
1998	11	16	3.9	5.7649851	386	1200570	39.839444	-7.4786944
1998	11	17	3	3.940145	386	1200570	39.839444	-7.4786944
1998	11	18	4.3	4.9006796	386	1200570	39.839444	-7.4786944
1998	11	19	4.7	4.035223	386	1200570	39.839444	-7.4786944
1998	11	20	5.8	5.049253	386	1200570	39.839444	-7.4786944
1998	11	21	5.1	3.8674784	386	1200570	39.839444	-7.4786944
1998	11	22	4	3.1625919	386	1200570	39.839444	-7.4786944
1998	11	23	6.3	8.1981344	386	1200570	39.839444	-7.4786944
1998	11	24	6.9	4.3639708	386	1200570	39.839444	-7.4786944
1998	11	25	7.1	6.0129428	386	1200570	39.839444	-7.4786944
1998	11	26	5.7	5.835073	386	1200570	39.839444	-7.4786944
1998	11	27	5.2	4.0957956	386	1200570	39.839444	-7.4786944
1998	11	28	5.2	6.8398647	386	1200570	39.839444	-7.4786944
1998	11	29	8.9	7.0549102	386	1200570	39.839444	-7.4786944
1998	11	30	7.4	6.7800698	386	1200570	39.839444	-7.4786944
1998	12	1	7.3	9.1421299	386	1200570	39.839444	-7.4786944
1998	12	2	5.8	6.8940511	386	1200570	39.839444	-7.4786944
1998	12	3	7.5	5.184279	386	1200570	39.839444	-7.4786944
1998	12	4	5.8	4.4114676	386	1200570	39.839444	-7.4786944
1998	12	5	3.9	3.680186	386	1200570	39.839444	-7.4786944
1998	12	6	3	3.2023215	386	1200570	39.839444	-7.4786944
1998	12	7	3	3.4095719	386	1200570	39.839444	-7.4786944
1998	12	8	2.8	3.1743827	386	1200570	39.839444	-7.4786944
1998	12	9	3	2.7212694	386	1200570	39.839444	-7.4786944
1998	12	10	3	2.8127117	386	1200570	39.839444	-7.4786944
1998	12	11	6.5	6.4422235	386	1200570	39.839444	-7.4786944
1998	12	12	3.8	3.3468263	386	1200570	39.839444	-7.4786944
1998	12	13	3.9	5.3241782	386	1200570	39.839444	-7.4786944
1998	12	14	4.8	5.4785924	386	1200570	39.839444	-7.4786944
1998	12	15	3.5	4.5429564	386	1200570	39.839444	-7.4786944
1998	12	16	3.6	5.0189447	386	1200570	39.839444	-7.4786944
1998	12	17	3	3.9895771	386	1200570	39.839444	-7.4786944
1998	12	18	2.7	2.5591748	386	1200570	39.839444	-7.4786944
1998	12	19	3.8	3.264128	386	1200570	39.839444	-7.4786944
1998	12	20	10.1	7.8092685	386	1200570	39.839444	-7.4786944
1998	12	21	5.7	5.3689651	386	1200570	39.839444	-7.4786944
1998	12	22	4.6	4.231535	386	1200570	39.839444	-7.4786944
1998	12	23	2.6	3.6525803	386	1200570	39.839444	-7.4786944
1998	12	24	4.3	4.7654424	386	1200570	39.839444	-7.4786944
1998	12	25	4.3	4.4040198	386	1200570	39.839444	-7.4786944
1998	12	26	3.5	3.8478107	386	1200570	39.839444	-7.4786944
1998	12	27	3.8	3.6984584	386	1200570	39.839444	-7.4786944
1998	12	28	3.5	3.1108167	386	1200570	39.839444	-7.4786944
1998	12	29	6.2	9.8966627	386	1200570	39.839444	-7.4786944
1998	12	30	6.5	6.3267274	386	1200570	39.839444	-7.4786944
1998	12	31	7.1	7.5099554	386	1200570	39.839444	-7.4786944
1999	1	1	10.8	5.8191977	386	1200570	39.839444	-7.4786944
1999	1	2	4	2.7746706	386	1200570	39.839444	-7.4786944
1999	1	3	2.5	4.2002831	386	1200570	39.839444	-7.4786944
1999	1	4	3.7	5.3225451	386	1200570	39.839444	-7.4786944
1999	1	5	4.8	6.2241106	386	1200570	39.839444	-7.4786944
1999	1	6	3.9	4.923224	386	1200570	39.839444	-7.4786944
1999	1	7	3.2	3.1690576	386	1200570	39.839444	-7.4786944
1999	1	8	6.4	5.3428335	386	1200570	39.839444	-7.4786944
1999	1	9	11.8	6.4582043	386	1200570	39.839444	-7.4786944
1999	1	10	8.5	7.3201208	386	1200570	39.839444	-7.4786944
1999	1	11	6.9	6.9191546	386	1200570	39.839444	-7.4786944
1999	1	12	5.7	5.9147339	386	1200570	39.839444	-7.4786944
1999	1	13	2.7	4.7680917	386	1200570	39.839444	-7.4786944
1999	1	14	5.7	7.9739494	386	1200570	39.839444	-7.4786944
1999	1	15	4	4.8577147	386	1200570	39.839444	-7.4786944
1999	1	16	7.3	10.137744	386	1200570	39.839444	-7.4786944
1999	1	17	7.3	7.0650096	386	1200570	39.839444	-7.4786944
1999	1	18	5.5	4.5991411	386	1200570	39.839444	-7.4786944
1999	1	19	2.2	3.5399959	386	1200570	39.839444	-7.4786944
1999	1	20	4.8	6.1013107	386	1200570	39.839444	-7.4786944
